Store_1
142,2012-10-26,1525085.8247370475,1392520.5474809953,1660467.1204374179
143,2012-10-28,1532520.5946473337,1405188.4262324811,1665575.5256343868
144,2012-11-04,1598465.5338724323,1463737.9312505831,1738915.4523143813
145,2012-11-11,1688436.8054228073,1546131.5015281753,1829077.3266280855
146,2012-11-18,1745437.2314485146,1613462.0456516608,1881370.8127490762
-----------------------------
Store_2
142,2012-10-26,1821778.9001676482,1634229.3829197483,2015844.8622876517
143,2012-10-28,1838077.120184235,1659648.0534534915,2022846.7568454111
144,2012-11-04,1950818.2572803646,1785452.822333448,2147077.3219401003
145,2012-11-11,2082521.9577170552,1906115.3126796624,2274372.8636799715
146,2012-11-18,2155667.3054601992,1979507.6109616177,2332298.541752127
-----------------------------
Store_3
142,2012-10-26,415583.3258523064,381894.90069887583,450804.44452025223
143,2012-10-28,418241.9985582384,383038.4934982108,450742.67581050465
144,2012-11-04,437114.8487778864,402519.5351719275,469449.81754420965
145,2012-11-11,464608.89749520476,429810.2114488939,501023.99362944
146,2012-11-18,490196.31841029605,458966.96802123793,524999.2720968339
-----------------------------
Store_4
142,2012-10-26,2191808.5575204906,1979848.7709781073,2404983.1166352835
143,2012-10-28,2214367.5868345825,1995800.5337240235,2410804.8714304236
144,2012-11-04,2335533.134801718,2114272.408431902,2553071.6886959095
145,2012-11-11,2455377.6903168834,2253798.4620939232,2661437.0738842427
146,2012-11-18,2508011.4981312524,2298948.970604337,2730795.9420953733
-----------------------------
Store_5
142,2012-10-26,316977.2333040499,285193.7772877819,349621.916391248
143,2012-10-28,317041.57646866754,285675.8314327793,347409.1285609972
144,2012-11-04,331339.03473719966,303777.34807804244,363368.81308763043
145,2012-11-11,364288.8955309475,332516.5924765917,395160.95078158384
146,2012-11-18,397927.0320406902,367667.3419307177,429084.65202693455
-----------------------------
Store_6
142,2012-10-26,1418194.7796117433,1268248.1190287725,1570022.73968113
143,2012-10-28,1426351.8638691898,1263967.330286998,1592885.2409088633
144,2012-11-04,1512461.7831432077,1351840.4702765748,1682762.5274886787
145,2012-11-11,1652944.5720152732,1493800.6148537314,1816055.024706218
146,2012-11-18,1772714.1619096273,1616145.5558913157,1925453.0875645466
-----------------------------
Store_7
142,2012-10-26,526241.58731676,461065.66303708963,589277.4224016023
143,2012-10-28,526938.6381536894,456761.6098866055,592348.4314282978
144,2012-11-04,556053.9324858491,483673.0480806058,619499.0859097644
145,2012-11-11,620457.1577187298,557563.2392930964,685177.2766466758
146,2012-11-18,681439.9767907771,615006.9098973139,747629.1022078556
-----------------------------
Store_8
142,2012-10-26,892034.2121669074,812840.5282109233,980607.7464170951
143,2012-10-28,896641.0857401845,814174.6344520808,978307.9801096908
144,2012-11-04,937751.303551182,853639.0767945267,1020123.9854475094
145,2012-11-11,993697.1034881839,915087.7884927304,1082676.8520436739
146,2012-11-18,1032458.8838948762,950542.3075034241,1117610.7546818873
-----------------------------
Store_9
142,2012-10-26,552529.4414726361,500867.1244156969,604228.2124794959
143,2012-10-28,556681.8509518632,501590.0696253,608560.6921796242
144,2012-11-04,588745.155015767,536162.9762862768,645511.511336671
145,2012-11-11,631526.8169038977,579976.9464413485,684567.4531621585
146,2012-11-18,661042.5322390595,610565.1130671464,716853.7031009002
-----------------------------
Store_10
